0x1000	0xe3a02005	mov r2,#5
0x1004	0xe0821003	add r1,r2,r3
0x1008	0xe5823000	str r3,[r2]
0x100c	00000000	.space 16
0x1010	00000000	.space 16
0x1014	00000000	.space 16
0x1018	00000000	.space 16
0x101c	00000005	.word 0x5,15,0x15
0x1020	0000000f	.word 0x5,15,0x15
0x1024	00000015	.word 0x5,15,0x15
0x1028	03ff0806	.byte 3,0xff,8,6,7
0x102c	07	.byte 3,0xff,8,6,7
0x1030	00010002	.hword 1,2,3
0x1034	0003	.hword 1,2,3
0x1038	0xe0214392	loop:mla r1,r2,r3,r4
0x103c	0xea000001	b label3
0x1040	0xe1520513	label2:cmp r2,r3,lsl,r5
0x1044	0xe0821803	add r1,r2,r3,lsl,#0x10
0x1048	0xe1020091	label3:swp r0,r1,[r2]
0x104c	0xe1442093	swpb r2,r3,[r4]
0x1050	0x1f123456	label4:swine 0x123456
0x1054	0xe0010392	mul r1,r2,r3
